target,base,pair,chain,blocknum,wbnb_reserve
0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x8FA59693458289914dB0097F5F366d771B7a7C3F,bsc,25543755,40000.23146152575
0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xc7c3cCCE4FA25700fD5574DA7E200ae28BBd36A3,bsc,25543755,148.66108567907216
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xd99c7F6C65857AC913a8f880A4cb84032AB2FC5b,bsc,25543755,13383.821366264356
0x5a3010d4d8d3b5fb49f8b6e57fb9e48063f16700,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xba01662E978DE7d67F8FfC937726215eb8995d17,bsc,25543755,2672.715505339432
0xd27d3f7f329d93d897612e413f207a4dbe8bf799,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xAb48D637386256e3Ce03A4285092a33F1516b2f9,bsc,25543755,228.78763199101357
0xf307910a4c7bbc79691fd374889b36d8531b08e3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x3147F98B8f9C53Acdf8F16332eaD12B592a1a4ae,bsc,25543755,933.0780665876141
0x4a5a34212404f30c5ab7eb61b078fa4a55adc5a5,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x9e8a0AD0B1E67BbC96c88463B193b77aF0C55A7C,bsc,25543755,104.09839816110585
0xacfc95585d80ab62f67a14c566c1b7a49fe91167,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x2Aa763656A92ce1e6E560c3EA76b4C5fca7C6C14,bsc,25543755,1154.590158646159
0x23ec58e45ac5313bcb6681f4f7827b8a8453ac45,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x49610316Adce894F11cC915455e6ad7Bc94c7930,bsc,25543755,122.28291328153209
0x14357d294fbabbe0fbf59503370c772d563b35b6,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x472D5D9266B5794309c353d703fC1A44A864AC82,bsc,25543755,113.48549319571666
0x33d08d8c7a168333a85285a68c0042b39fc3741d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x3D2Bcc3Ec4f97b0d4209Fd947FC70F666F39D995,bsc,25543755,705.3288571115603
0x810ee35443639348adbbc467b33310d2ab43c168,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xECf30FbecfA642012f54212a3bE92eEF1e48eDaC,bsc,25543755,115.48156584258548
0x82d2f8e02afb160dd5a480a617692e62de9038c4,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x160D258F807cdd58b9cB500631eF58f8d01Cd508,bsc,25543755,153.67374165248646
0x6855f7bb6287f94ddcc8915e37e73a3c9fee5cf3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x17e9216402138B15B30bd341c0377054e42aEbf8,bsc,25543755,412.66698963925967
0xacb2d47827c9813ae26de80965845d80935afd0b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xe8D5d81dac092Ae61d097f84EFE230759BF2e522,bsc,25543755,131.697026094331
0x5d3afba1924ad748776e4ca62213bf7acf39d773,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x25D656D78A097FBa867ae46314cdeD84546AAA54,bsc,25543755,145.7583456523431
0x0231f91e02debd20345ae8ab7d71a41f8e140ce7,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x30C35Bf0837B05208aD46A2e79B1BE11D7976208,bsc,25543755,179.46306428621446
0xab844d316b5a5093b7e7edde11cc08becca36d1c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x7b2eCaB2dDf9fd8cEcF2c0DCa38D4B8382cC5591,bsc,25543755,735.9116054053968
0xb6c53431608e626ac81a9776ac3e999c5556717c,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x3eDb06e2d182d133864fe7C0f9B4C204bBf61D4E,bsc,25543755,417.19421446275874
0x2dbd86a424a815ad2a08a2d8dae07007fed6dc91,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x6eeBf6E8C3a12Fb7265496D94CB65b6c42Bc411D,bsc,25543755,141.51114142547632
0xbfef6ccfc830d3baca4f6766a0d4aaa242ca9f3d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xc31fc5D88871A3BAc6BEc7E6306e16e02053eEC1,bsc,25543755,142.29980760273133
0x4206931337dc273a630d328da6441786bfad668f,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x1D51f1f6Da2D274534c93a52303a39C286EC9B8F,bsc,25543755,2701.032433522011
0x68e374f856bf25468d365e539b700b648bf94b67,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x5a26eB7C9c72140d01039Eb172Dcb8ec98D071bd,bsc,25543755,786.9241421691047
0x57effde2759b68d86c544e88f7977e3314144859,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x67F18f3784fEd30652eB724CB1C174A72FEB450B,bsc,25543755,360.05942887538407
0x8b303d5bbfbbf46f1a4d9741e491e06986894e18,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x2AE94A6C768D59f5DDc25bd7f12C7cBE1D51dc04,bsc,25543755,599.8898925477438
0x09a6c44c3947b69e2b45f4d51b67e6a39acfb506,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x489714d52D45d38d0F8D9182a2bd79f7Fa8e767E,bsc,25543755,428.7670563827861
0x155040625d7ae3e9cada9a73e3e44f76d3ed1409,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x388b28c75A3547C9eeFf7279de4FE2a0ed5bE1b3,bsc,25543755,431.14653081267926
0x4a080377f83d669d7bb83b3184a8a5e61b500608,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xcECfC2789af72ed151589a96a59f3A1ABC65c3b5,bsc,25543755,149.69026602017058
0xbcb24afb019be7e93ea9c43b7e22bb55d5b7f45d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x9A590a591307E67AEB3f907E1fCa53aD93b10D60,bsc,25543755,238.139704906817
0x68590a47578e5060a29fd99654f4556dbfa05d10,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x90b4320D89AbC65B7129043000Db6c1eCd7E24E6,bsc,25543755,1541.900010530635
0x03ff0ff224f904be3118461335064bb48df47938,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x9D2296e2Fe3CdBf2EB3e3e2CA8811BaFA42eeDFF,bsc,25543755,294.4483423298746
0x016cf83732f1468150d87dcc5bdf67730b3934d3,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xf0Cb491BB5e6788844FDDEA303c28f8d2f98D521,bsc,25543755,376.63375772246616
0xacb8f52dc63bb752a51186d1c55868adbffee9c1,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x2bF2dEB40639201C9A94c9e33b4852D9AEa5fd2D,bsc,25543755,324.02997342907497
0x13861c017735d3b2f0678a546948d67ad51ac07b,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x3581735ce4D03f65E57614f521383E50e1678D98,bsc,25543755,204.98148310368046
0x4a68c250486a116dc8d6a0c5b0677de07cc09c5d,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x12FC9D611b27E9E1B75A134f416eF071d7cbFF12,bsc,25543755,248.21454257257605
0x3cfcf06985f9299868d3a1cb616e233eb84d5491,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xF4f51CA2001b2d900e3b957b7839c24D8Ed1a5B9,bsc,25543755,115.50850874032426
0x42539f50c5f8a0c929e7895eb265391f58b22a19,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xE55072AB00eeCcd4Ed5b581849e578fd54585ff8,bsc,25543755,142.2964083426105
